#,@type,title,description,identifier,theme,keyword,issued,modified,accrualPeriodicity,temporal,spatial,describedBy,references,license,publisher,contactPoint,@type-resource,identifier-resource,title-resource,description-resource,mediaType-resource,byteSize-resource,describedBy-resource,accessURL-resource,downloadURL-resource
3,"@type: ""dcat:Dataset""",Area afectada por la plaga del gorgojo descortezador del pino,En esta capa se visualizan las áreas que han sido afectadas por el gorgojo descortezador del pino durante el periodo comprendido entre 2013-2017 (informacion vectorial en Datum WGS 84 Zona 16 N).,area-afectada-plaga-gorgojo,Medio Ambiente,"Proteccion, Sanidad Forestal",13/06/2015,1/06/2018,R/P1Y,,http://www.geonames.org/3608932,,http://icf.gob.hn/wp-content/uploads/2018/02/INFORME-EPISODIO-DE-PLAGA-2016.pdf,https://creativecommons.org/licenses/by/4.0/deed.es,Departamento de Salud y Sanidad Forestal - ICF,info@icf.gob.hn,"@type: ""dcat:Distribution""",areas_afectadas_plagas_hn,Servicio Web (WMS) de áreas afectadas por la plaga del Gorgojo Descortezador del Pino,Capa de información geográfica donde se visualizan las áreas que han sido afectadas por el gorgojo descortezador del pino durante el periodo comprendido entre 2013-2017 en formato WMS,WMS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wms,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",areas_afectadas_plagas_hn,Servicio Web (WFS) de áreas afectadas por la plaga del Gorgojo Descortezador del Pino,Capa de información geográfica donde se visualizan las áreas que han sido afectadas por el gorgojo descortezador del pino durante el periodo comprendido entre 2013-2017 en formato WFS,WFS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wfs,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",areas_afectadas_plagas_hn,"Shapefile de las areas afectadas por la plaga del Gorgojo Descortezador de Pino en Honduras, en formato ZIP",Capa de información geográfica donde se visualizan las áreas que han sido afectadas por el gorgojo descortezador del pino durante el periodo comprendido entre 2013-2017 en formato SHP,"ZIP (SHP, SHX, DBF)",48706,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
4,"@type: ""dcat:Dataset""",Patrimonio forestal de Honduras,"Proporciona información de las áreas que despues del proceso de regularizacion de tierras, han sido tituladas a favor del Estado de Honduras e inscritas en el Catálogo de Patrimonio Público Forestal Inalienable (informacion vectorial con Datum WGS 84, Zona 16 N).",catalogo-patrimonio-forestal,Medio Ambiente,Patrimonio Forestal,13/06/2015,7/28/2017,R/P1Y,,http://www.geonames.org/3608932,,La ley forestal presenta los lineamientos para realizar el proceso de regularizacion de tierras forestales: https://portalunico.iaip.gob.hn/Archivos/ComisionNacionaldeEnergia/Regulaciones(normativa)/Leyes/2015/Ley%20Forestal%20Areas%20Protegidas%20y%20Vida%20Silvestre%20(1).pdf,https://creativecommons.org/licenses/by/4.0/deed.es,Unidad de Patrimonio Forestal (CIPF) -ICF,info@icf.gob.hn,"@type: ""dcat:Distribution""",patrimonio_forestal_hn,Servicio Web (WMS) de áreas afectadas inscritas en Catalogo de Patrimonio Forestal,áreas que han sido tituladas a favor del Estado de Honduras e inscritas en el Catálogo de Patrimonio Público Forestal Inalienable en formato WMS,WMS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wfs,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",patrimonio_forestal_hn,"Shapefile de las areas inscritas en el Catalogo de Patrimonio Forestal, en formato ZIP",áreas que han sido tituladas a favor del Estado de Honduras e inscritas en el Catálogo de Patrimonio Público Forestal Inalienable en formato SHP,"ZIP (SHP, SHX, DBF)",761,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
5,"@type: ""dcat:Dataset""",Títulos de propiedad a favor de organizaciones indígenas,"Se visualiza la información correspondiente a los Títulos de propiedad a favor de organizaciones indígenas en la zona de La Mosquitia, departamento de Gracias a Dios (informacion vectorial en Datum WGS 84 Zona 16 N).",titulacion-propiedad-indigena,Medio Ambiente,"Propiedad, Titulacion",13/06/2015,7/27/2019,R/P1Y,,http://www.geonames.org/3608932,,,https://creativecommons.org/licenses/by/4.0/deed.es,Unidad de Patrimonio Forestal (CIPF) - ICF,info@icf.gob.hn,"@type: ""dcat:Distribution""",titulacion_indigena_hn,"Shapefile de los Títulos indigenas, en formato ZIP","Títulos de propiedad a favor de organizaciones indígenas en la zona de La Mosquitia, departamento de Gracias a Dios en formato SHP","ZIP (SHP, SHX, DBF)",722,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
6,"@type: ""dcat:Dataset""",Areas asignadas bajo contratos de manejo,Es la información correspondiente a las áreas nacionales que actualmente se encuentran bajo contratos de manejo forestal comunitario (informacion vectorial con Datum WGS 84 Zona 16 N).,areas-asignadas-contratos-manejo,Medio Ambiente,Manejo Forestal,13/06/2015,7/13/2017,R/P1Y,,http://www.geonames.org/3608932,,http://icf.gob.hn/wp-content/uploads/2015/08/Manual-Normas-Tecnicas-Foresteria-en-Bosque-publicos.pdf,https://creativecommons.org/licenses/by/4.0/deed.es,Departamento de Desarrollo Forestal Comunitario-ICF,info@icf.gob.hn,"@type: ""dcat:Distribution""",areas_asignadas_hn,Servicio Web (WMS) de asignadas bajo contratos de manejo forestal comunitario,Información correspondiente a las áreas nacionales que actualmente se encuentran bajo contratos de manejo forestal comunitario en formato WMS,WMS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wms,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",areas_asignadas_hn,Servicio Web (WFS) de asignadas bajo contratos de manejo forestal comunitario,Información correspondiente a las áreas nacionales que actualmente se encuentran bajo contratos de manejo forestal comunitario en formato WFS,WFS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wfs,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",areas_asignadas_hn,"Shapefile de las areas asignadas bajo contratos de manejo forestal comunitario, en formato ZIP",Información correspondiente a las áreas nacionales que actualmente se encuentran bajo contratos de manejo forestal comunitario en formato SHP,"ZIP (SHP, SHX, DBF)",495,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
7,"@type: ""dcat:Dataset""",Red vial de Honduras,Proporciona información de la red vial del país en sus diferentes categorías (informacion vectorial con Datum WGS 84 Zona 16 N).,red-vial,Urbanismo e Infraestructuras,"Red vial, Acceso",6/13/2015,7/27/2019,R/P1Y,,http://www.geonames.org/3608932,,,https://creativecommons.org/licenses/by/4.0/deed.es,Cartografía-CIPF-ICF,info@icf.gob.hn,"@type: ""dcat:Distribution""",red_vial_hn_WMS,Servicio Web (WMS) de la red vial de Honduras,Informacion correspondiente a la red vial de Honduras en formato WMS,WMS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wms,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",red_vial_hn_WFS,Servicio Web (WFS) de la red vial de Honduras,Informacion correspondiente a la red vial de Honduras en formato WFS,WFS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wfs,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",red_vial_hn_ZIP,"Shapefile de la red vial de Honduras, en formato ZIP",Informacion correspondiente a la red vial de Honduras en formato SHP,"ZIP (SHP, SHX, DBF)",21677,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wcs,
8,"@type: ""dcat:Dataset""",Red hídrica de Honduras,"En esta capa se visualiza información de la red hidrica superficial, correspondientes al territorio nacional.",red-hidrica,Medio Ambiente,"Conservacion, Hidrologia",13/06/2015,7/27/2019,R/P1Y,,http://www.geonames.org/3608932,,"La ley forestal presenta los lineamientos para definir el área que debe antenerse inalteada en el curso fluvial de una cuenca hidrográfica, esta se puede consutar desde: https://portalunico.iaip.gob.hn/Archivos/ComisionNacionaldeEnergia/Regulaciones(normativa)/Leyes/2015/Ley%20Forestal%20Areas%20Protegidas%20y%20Vida%20Silvestre%20(1).pdf",https://creativecommons.org/licenses/by/4.0/deed.es,CIPF/ICF,info@icf.gob.hn,"@type: ""dcat:Distribution""",red_hidrica_hn,Servicio Web (WMS) de la red hidrica de Honduras,Informacion correspondiente a la red hidrica de Honduras en formato WMS,WMS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wms,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",red_hidrica_hn,Servicio Web (WFS) de la red hicrica de Honduras,Informacion correspondiente a la red hicrica de Honduras en formato WFS,WFS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wfs,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",red_hidrica_hn,Shapefile de la red hidrica superficial de Honduras.,Informacion correspondiente a la red hidrica de Honduras en formato SHP,"ZIP (SHP, SHX, DBF)",26354,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
9,"@type: ""dcat:Dataset""",Regiones Forestales ICF,Proporciona información de los limites administrativos de las regiones forestal en las que se encuentra organizado el ICF.,regiones-forestales-icf,Medio Ambiente,"Conservacion, Manejo Forestal",13/06/2015,7/27/2019,R/P1Y,,http://www.geonames.org/3608932,,,https://creativecommons.org/licenses/by/4.0/deed.es,ICF,info@icf.gob.hn,"@type: ""dcat:Distribution""",division_administrativa_icf,Servicio Web (WMS) de la division politica departamental de Honduras,Informacion correspondiente a la divison administrativa del ICF (regiones forestales) en formato WMS,WMS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wms,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",division_administrativa_icf,"Shapefile de la division administrativa del ICF, en formato ZIP",Informacion correspondiente a la divison administrativa del ICF (regiones forestales) en formato SHP,"ZIP (SHP, SHX, DBF)",3091,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
10,"@type: ""dcat:Dataset""",Division política departamental,Proporciona información de los limites administrativos de los departamento de Honduras.,limites-departamentales,Demografía,Division Politica,7/13/2017,7/27/2019,R/P1Y,,http://www.geonames.org/3608932,,,https://creativecommons.org/licenses/by/4.0/deed.es,ICF,info@icf.gob.hn,"@type: ""dcat:Distribution""",division_departamental_hn,Servicio Web (WMS) de la division politica departamental de Honduras,Informacion correspondiente a los limites departamentales de Honduras en formato WMS.,WMS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wms,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",division_departamental_hn,Servicio Web (WFS) de la division politica departamental de Honduras,Informacion correspondiente a los limites departamentales de Honduras en formato WFS.,WFS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wfs,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",division_departamental_hn,"Shapefile de la division politica departamental de Honduras, en formato ZIP",Informacion correspondiente a los limites departamentales de Honduras en formato ZIP.,"ZIP (SHP, SHX, DBF)",8839,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
11,"@type: ""dcat:Dataset""",Division política municipal,Proporciona informacion de los limite administrativos municipales del pais.,limites-municipales,Demografía,Division politica,7/13/2017,7/27/2019,R/P1Y,,http://www.geonames.org/3608932,,,https://creativecommons.org/licenses/by/4.0/deed.es,ICF,info@icf.gob.hn,"@type: ""dcat:Distribution""",division_municipal_hn,Servicio Web (WMS) de la division politica municipal de Honduras,Informacion correspondiente a los limites municipales de Honduras en formato WMS,WMS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wms,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",division_municipal_hn,Servicio Web (WFS) de la division politica municipal de Honduras,Informacion correspondiente a los limites municipales de Honduras en formato WFS,WFS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wfs,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",division_municipal_hn,"Shapefile de la division politica municipal de Honduras, en formato ZIP",Informacion correspondiente a los limites municipales de Honduras en formato ZIP.,"ZIP (SHP, SHX, DBF)",10452,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
12,"@type: ""dcat:Dataset""",Perdida de cobertura,En esta capa se visualizan las perdidas en la cobertura forestal del periodo comprendido entre 2000 al 2016.,perdidas-cobertura-forestal,Medio Ambiente,"Cambio, Cobertura Forestal",8/1/2016,7/27/2019,R/P1Y,,http://www.geonames.org/3608932,,,https://creativecommons.org/licenses/by/4.0/deed.es,Unidad de Monitoreo Forestal (CIPF),info@icf.gob.hn,"@type: ""dcat:Distribution""",perdidas_cobertura_forestal_hn,Servicio Web (WMS) de la perdida de cobertura forestal de Honduras,Informacion correspondiente a la perdida de cobertura forestal de Honduras en formato WMS,WMS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wms,
,,,,,,,,,,,,,,,,,,perdidas_cobertura_forestal_hn,Servicio Web (WFS) de la perdidad de cobertura forestal de Honduras,Informacion correspondiente a la perdida de cobertura forestal de Honduras en formato WMS,WFS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wfs,
,,,,,,,,,,,,,,,,,,perdidas_cobertura_forestal_hn,"Archivo raster de las perdidas y ganancias de bosque en Hondurass, (comprimido en formato ZIP)	
","Informacion correspondiente a la perdida de cobertura forestal de Honduras en formato TIF (comprimido en un archivo ZIP)
",ZIP (TIFF),14250,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
13,"@type: ""dcat:Dataset""",Manejo Forestal,Contiene los límites de las áreas que se encuentran administradas bajo la figura técnica y legal de un Plan de Manejo Forestal.,areas-planes-manejo-forestal-vigentes,Medio Ambiente,"Manejo Forestal, Aprovechamiento Forestal",13/06/2015,13/07/2017,R/P1Y,,http://www.geonames.org/3608932,,"La ley forestal presenta los lineamientos técnicos y legales para realizar el aprovechamiento forestal, esta se puede consutar desde: https://portalunico.iaip.gob.hn/Archivos/ComisionNacionaldeEnergia/Regulaciones(normativa)/Leyes/2015/Ley%20Forestal%20Areas%20Protegidas%20y%20Vida%20Silvestre%20(1).pdf",https://creativecommons.org/licenses/by/4.0/deed.es,Departamento de Manejo Forestal - ICF,info@icf.gob.hn,"@type: ""dcat:Distribution""",planes_vigentes_hn,Servicio Web (WMS) de planes de manejo vigentes,"Contiene los límites de los planes de manejo en vigencia con Datum WGS 84, Proyeccion UTM Zona 16 N, en formato WMS",WMS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wms,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",planes_vigentes_hn,Servicio Web (WFS) de planes de manejo vigentes,"Contiene los límites de los planes de manejo en vigencia con Datum WGS 84, Proyeccion UTM Zona 16 N, en formato WFS",WFS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wfs,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",planes_vigentes_hn,Servicio Web (WCS) de planes de manejo vigentes,"Contiene los límites de los planes de manejo en vigencia con Datum WGS 84, Proyeccion UTM Zona 16 N, en formato WCS",WCS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wcs,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",planes_vigentes_hn,Shapefile de las areas administradas con planes de manejo forestal vigentes de Honduras en formato ZIP,"Contiene los límites de los planes de manejo en vigencia con Datum WGS 84, Proyeccion UTM Zona 16 N, en formato ZIP","ZIP (SHP, SHX, DBF)",2029,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
14,"@type: ""dcat:Dataset""",Límites de las áreas adminsitradas bajo los Planes de Manejo Forestal,Contiene los límites de las áreas que se encuentran administradas bajo la figura técnica y legal de un Plan de Manejo Forestal.,planes-de-manejo-historicos,Medio Ambiente,"Manejo Forestal, Aprovechamiento Forestal",13/06/2015,7/27/2019,R/P1Y,,http://www.geonames.org/3608932,,"La ley forestal presenta los lineamientos técnicos y legales para realizar el aprovechamiento forestal, esta se puede consutar desde: https://portalunico.iaip.gob.hn/Archivos/ComisionNacionaldeEnergia/Regulaciones(normativa)/Leyes/2015/Ley%20Forestal%20Areas%20Protegidas%20y%20Vida%20Silvestre%20(1).pdf",https://creativecommons.org/licenses/by/4.0/deed.es,Departamento de Manejo Forestal - ICF,info@icf.gob.hn,"@type: ""dcat:Distribution""",planes_historicos_hn,Servicio Web (WMS) de planes de manejo historicos,"Contiene los límites de los planes de manejo historicos con Datum WGS 84, Proyeccion UTM Zona 16 N, en formato WMS",WMS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wms,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",planes_historicos_hn,Servicio Web (WFS) de planes de manejo historicos,"Contiene los límites delos planes de manejo historicos con Datum WGS 84, Proyeccion UTM Zona 16 N, en formato WFS",WFS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wfs,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",planes_historicos_hn,Servicio Web (WCS) de planes de manejo historicos,"Contiene los límites delos planes de manejo historicos con Datum WGS 84, Proyeccion UTM Zona 16 N, en formato WCS",WCS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wcs,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",planes_historicos_hn,Shapefile de las areas administradas con planes de manejo forestal historicos de Honduras en formato ZIP,"Contiene los límites delos planes de manejo en vigencia con Datum WGS 84, Proyeccion UTM Zona 16 N, en formato ZIP","ZIP (SHP, SHX, DBF)",2751,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
15,"@type: ""dcat:Dataset""",Planes de manejo forestal,Contiene información cuantitativa de los planes de manejo forestal vigentes aprobados por el ICF en las diferentes regiones forestales,informacion-planes-manejo-forestal-vigentes,Medio Ambiente,Planes de manejo forestal,2000-10-10,2019-02-15,R/P1Y,2018,http://www.geonames.org/3608932,,"La ley forestal presenta los lineamientos para el manejo de las areas protegidas, esta se puede consutar desde: https://portalunico.iaip.gob.hn/Archivos/ComisionNacionaldeEnergia/Regulaciones(normativa)/Leyes/2015/Ley%20Forestal%20Areas%20Protegidas%20y%20Vida%20Silvestre%20(1).pdf",https://creativecommons.org/licenses/by/4.0/deed.es,"Instituto Nacional de Conservación y Desarrollo Forestal, Áreas Protegidas y Vida Silvestre (ICF)",info@icf.gob.hn ,"@type: ""dcat:Distribution""",estadistica_planes_manejo_forestal_aprobados,"Datos anuales de los planes de manejo forestal aprobados en áreas nacionales, ejidales y privadas en formato XLSX","Información sobre planes de manejo forestal aprobados en áreas nacionales, ejidales y privadas, durante el año 2018, en formato XLSX",XLSX,,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",estadistica_planes_manejo_forestal_aprobados,"Datos anuales de los planes de manejo forestal aprobados en áreas nacionales, ejidales y privadas en formato CSV","Información sobre planes de manejo forestal aprobados en áreas nacionales, ejidales y privadas, durante el año 2018, en formato CSV",CSV,,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
16,"@type: ""dcat:Dataset""",Aprovechamiento Forestal,Contiene información del aprovechamiento de madera en rollo bajo alguno de los documentos licencia que emite el ICF.,aprovechamiento-madera-en-rollo,Medio Ambiente,Aprovechamiento forestal,1998-06-12,2019-02-15,R/P1Y,2018,http://www.geonames.org/3608932,,"La ley forestal presenta los lineamientos para el manejo de las areas protegidas, esta se puede consutar desde: https://portalunico.iaip.gob.hn/Archivos/ComisionNacionaldeEnergia/Regulaciones(normativa)/Leyes/2015/Ley%20Forestal%20Areas%20Protegidas%20y%20Vida%20Silvestre%20(1).pdf",https://creativecommons.org/licenses/by/4.0/deed.es,"Instituto Nacional de Conservación y Desarrollo Forestal, Áreas Protegidas y Vida Silvestre (ICF)",info@icf.gob.hn ,"@type: ""dcat:Distribution""",estadistica_aprovechamiento_madera_rollo,Datos anuales del aprovechamiento de madera en rollo durante el 2018 en formato XLSX,"Información sobre el aprovechamiento de madera en rollo bajo alguno de los documentos licencias que emite el ICF, en formato XLSX",XLSX,,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",estadistica_aprovechamiento_madera_rollo,Datos anuales del aprovechamiento de madera en rollo durante el 2018 en formato CSV,"Información sobre el aprovechamiento de madera en rollo bajo alguno de los documentos licencias que emite el ICF, en formato CSV",CSV,,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
17,"@type: ""dcat:Dataset""",Área afectada por incendios forestales,Contiene la cantidad de incendios forestales y el área afectada,incendios-forestales,Medio Ambiente,Indendios Forestales,1998-06-12,2019-02-15,R/P1Y,2018,http://www.geonames.org/3608932,,,https://creativecommons.org/licenses/by/4.0/deed.es,"Instituto Nacional de Conservación y Desarrollo Forestal, Áreas Protegidas y Vida Silvestre (ICF)",info@icf.gob.hn ,"@type: ""dcat:Distribution""",estadistica_incendios_forestales,Datos anuales de la ocurrencia de incendios forestales ocurridos durante el año 2018 en formato XLSX,"Incendios forestales ocurridos y reportados durantel el año 2018, en formato XLSX",XLSX,,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",estadistica_incendios_forestales,Datos anuales de la ocurrencia de incendios forestales ocurridos durante el año 2018 en formato CSV,"Incendios forestales ocurridos y reportados durantel el año 2018, en formato CSV",CSV,,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
