#,@type,title,description,identifier,theme,keyword,issued,modified,accrualPeriodicity,temporal,spatial,describedBy,references,license,publisher,contactPoint,@type-resource,identifier-resource,title-resource,description-resource,mediaType-resource,byteSize-resource,describedBy-resource,accessURL-resource,downloadURL-resource
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Septiembre-de-2018-json,Ejecución mensual de egresos de Septiembre de 2018 en formato JSON,Ejecución mensual de egresos de Septiembre de 2018 en formato JSON,JSON,5133531,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201809.json
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Septiembre-de-2018-xls,Ejecución mensual de egresos de Septiembre de 2018 en formato XLS,Ejecución mensual de egresos de Septiembre de 2018 en formato XLS,XLS,1927680,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201809.xls
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Octubre-de-2018--csv,Ejecución mensual de egresos de Octubre de 2018 en formato CSV,Ejecución mensual de egresos de Octubre de 2018 en formato CSV,CSV,2407927,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201810.csv
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Octubre-de-2018--json,Ejecución mensual de egresos de Octubre de 2018 en formato JSON,Ejecución mensual de egresos de Octubre de 2018 en formato JSON,JSON,5178645,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201810.json
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Octubre-de-2018--xls,Ejecución mensual de egresos de Octubre de 2018 en formato XLS,Ejecución mensual de egresos de Octubre de 2018 en formato XLS,XLS,1958400,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201810.xls
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Noviembre-de-2018-csv,Ejecución mensual de egresos de Noviembre de 2018 en formato CSV,Ejecución mensual de egresos de Noviembre de 2018 en formato CSV,CSV,2467797,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201811.csv
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Noviembre-de-2018-json,Ejecución mensual de egresos de Noviembre de 2018 en formato JSON,Ejecución mensual de egresos de Noviembre de 2018 en formato JSON,JSON,5290502,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201811.json
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Noviembre-de-2018-xls,Ejecución mensual de egresos de Noviembre de 2018 en formato XLS,Ejecución mensual de egresos de Noviembre de 2018 en formato XLS,XLS,2052096,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201811.xls
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Diciembre-de-2018-csv,Ejecución mensual de egresos de Diciembre de 2018 en formato CSV,Ejecución mensual de egresos de Diciembre de 2018 en formato CSV,CSV,2496855,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201812.csv
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Diciembre-de-2018-json,Ejecución mensual de egresos de Diciembre de 2018 en formato JSON,Ejecución mensual de egresos de Diciembre de 2018 en formato JSON,JSON,5282809,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201812.json
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Diciembre-de-2018-xls,Ejecución mensual de egresos de Diciembre de 2018 en formato XLS,Ejecución mensual de egresos de Diciembre de 2018 en formato XLS,XLS,2040832,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201812.xls
2,"@type: ""dcat:Dataset""",Ejecución mensual de egresos de 2019,"La Administración Financiera del Sector Público cuenta con diferentes agrupaciones o entes, que tienen como función disponer de los recursos financieros del Sector Público, siendo éstas las responsables de programar y evaluar el presupuesto, administrar el sistema tributario, realizar la gestión de las  peraciones de crédito público, regular la ejecución de los gastos e ingresos, administrar el tesoro y contabilizar las transacciones relacionadas con la captación y colocación de los fondos público, el siguiente conjunto de datos contiene las transacciones acumuladas durante mensualmente durante el año 2019.",Ejecución-mensual-de-egresos-2019,Economía,"Ejecución, egresos, objeto del gasto,clase del gasto,Fuente de Financiamiento",,2019-2-4,R/P1M,Enero 2019 - Abril 2019,http://www.geonames.org/3608932,http://www.sefin.gob.hn/Ejecución-presupuestaria/,,https://creativecommons.org/licenses/by-sa/4.0/deed.es_ES,Dirección de Transparencia - SEFIN,transparencia@sefin.gob.hn,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Enero-de-2019-csv,Ejecución mensual de egresos de Enero de 2019,Ejecución mensual de egresos de Enero de 2019 en formato CSV,CSV,1983566,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201901.csv
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Enero-de-2019-json,Ejecución mensual de egresos de Enero de 2019,Ejecución mensual de egresos de Enero de 2019 en formato JSON,JSON,4250519,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201901.json
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Enero-de-2019-xls,Ejecución mensual de egresos de Enero de 2019,Ejecución mensual de egresos de Enero de 2019 en formato XLS,XLS,1549312,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201901.xls
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Febrero-de-2019-csv,Ejecución mensual de egresos de Febrero de 2019,Ejecución mensual de egresos de Febrero de 2019 en formato CSV,CSV,2069352,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201902.csv
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Febrero-de-2019-json,Ejecución mensual de egresos de Febrero de 2019,Ejecución mensual de egresos de Febrero de 2019 en formato JSON,JSON,4402230,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201902.json
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Febrero-de-2019-xls,Ejecución mensual de egresos de Febrero de 2019,Ejecución mensual de egresos de Febrero de 2019 en formato XLS,XLS,1626624,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201902.xls
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Marzo-de-2019-csv,Ejecución mensual de egresos de Marzo de 2019,Ejecución mensual de egresos de Marzo de 2019 en formato CSV,CSV,2112079,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201903.csv
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Marzo-de-2019-json,Ejecución mensual de egresos de Marzo de 2019,Ejecución mensual de egresos de Marzo de 2019 en formato JSON,JSON,4528368,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201903.json
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Marzo-de-2019-xls,Ejecución mensual de egresos de Marzo de 2019,Ejecución mensual de egresos de Marzo de 2019 en formato XLS,XLS,1692672,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201903.xls
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Abril-de-2019-csv,Ejecución mensual de egresos de Abril de 2019,Ejecución mensual de egresos de Abril de 2019 en formato CSV,CSV,2152510,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201904.csv
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Abril-de-2019-json,Ejecución mensual de egresos de Abril de 2019,Ejecución mensual de egresos de Abril de 2019 en formato JSON,JSON,4637957,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201904.json
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Abril-de-2019-xls,Ejecución mensual de egresos de Abril de 2019,Ejecución mensual de egresos de Abril de 2019 en formato XLS,XLS,1763328,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201904.xls
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",,Ejecución mensual de egresos de Enero de 2019,,JSON,,,,
3,"@type: ""dcat:Dataset""",Dispensas,Dispensas,,Comercio,Dispensas,,,R/P1M,,Nacional,,,https://creativecommons.org/licenses/by-sa/4.0/deed.es_ES,SEFIN,Dirección de Transparencia,"@type: ""dcat:Distribution""",,,,,,,,
4,"@type: ""dcat:Dataset""",Exoneraciones,Exoneraciones,,Comercio,Exoneraciones,,,R/P1M,,Nacional,,,https://creativecommons.org/licenses/by-sa/4.0/deed.es_ES,SEFIN,Dirección de Transparencia,"@type: ""dcat:Distribution""",,,,,,,,
5,"@type: ""dcat:Dataset""",Tabla De Bonos Indexados Al Indice De Precios Al Consumidor Extrapolado,"Bonos del Gobierno Indexados al IPCE para el año 2015, Son valores gubernamentales emitidos por el Gobierno de Honduras, a largo plazo (7, 10 y 15 años), bajo estándares internacionales para este tipo de instrumentos; generan cupones con pagos periódicos (semestrales) y el pago del capital al vencimiento, el cual (capital) es ajustado diariamente utilizando el Coeficiente de Indexación tomando como referencia el Índice de Precios al Consumidor Extrapolado (IPCE). Al devengar cupones sobre un capital que se ajusta de acuerdo al Coeficiente de Indexación, se reduce el riesgo de pérdida de valor por el concepto de la inflación ",ipce2015,Economía,Bonos Indexados IPCE Subasta,6/12/2019,6/12/2019,R/P1M,Enero 2015 - Diciembre 2015,Nacional,http://www.sefin.gob.hn/wp-content/uploads/2014/03/Nota-Tecnica-Bonos-Indexados-al-IPCE.pdf,,https://creativecommons.org/licenses/by-sa/4.0/deed.es_ES,Dirección de Transparencia - SEFIN,transparencia@sefin.gob.hn,"@type: ""dcat:Distribution""",ipce2015-csv,Tabla de Bonos Indexados al IPC 2015,Tabla de Bonos Indexados al IPC año completo 2015 en formato CSV ,CSV,18874368,http://www.sefin.gob.hn/odata/bono/jsonschema.txt,,http://www.sefin.gob.hn/odata/bono/ipce2015.csv
,,,"Bonos del Gobierno Indexados al IPCE para el año 2016, Son valores gubernamentales emitidos por el Gobierno de Honduras, a largo plazo (7, 10 y 15 años), bajo estándares internacionales para este tipo de instrumentos; generan cupones con pagos periódicos (semestrales) y el pago del capital al vencimiento, el cual (capital) es ajustado diariamente utilizando el Coeficiente de Indexación tomando como referencia el Índice de Precios al Consumidor Extrapolado (IPCE). Al devengar cupones sobre un capital que se ajusta de acuerdo al Coeficiente de Indexación, se reduce el riesgo de pérdida de valor por el concepto de la inflación",ipce2016,Economía,Bonos Indexados IPCE Subasta,6/12/2019,6/12/2019,R/P1M,Enero 2016 - Diciembre 2016,Nacional,http://www.sefin.gob.hn/wp-content/uploads/2014/03/Nota-Tecnica-Bonos-Indexados-al-IPCE.pdf,,https://creativecommons.org/licenses/by-sa/4.0/deed.es_ES,Dirección de Transparencia - SEFIN,transparencia@sefin.gob.hn,"@type: ""dcat:Distribution""",ipce2016-csv,Tabla de Bonos Indexados al IPC 2016,Tabla de Bonos Indexados al IPC año completo 2016 en formato CSV ,CSV,18874368,http://www.sefin.gob.hn/odata/bono/jsonschema.txt,,http://www.sefin.gob.hn/odata/bono/ipce2016.csv
,,,"Bonos del Gobierno Indexados al IPCE para el año 2017, Son valores gubernamentales emitidos por el Gobierno de Honduras, a largo plazo (7, 10 y 15 años), bajo estándares internacionales para este tipo de instrumentos; generan cupones con pagos periódicos (semestrales) y el pago del capital al vencimiento, el cual (capital) es ajustado diariamente utilizando el Coeficiente de Indexación tomando como referencia el Índice de Precios al Consumidor Extrapolado (IPCE). Al devengar cupones sobre un capital que se ajusta de acuerdo al Coeficiente de Indexación, se reduce el riesgo de pérdida de valor por el concepto de la inflación",ipce2017,Economía,Bonos Indexados IPCE Subasta,6/12/2019,6/12/2019,R/P1M,Enero 2017 - Diciembre 2017,Nacional,http://www.sefin.gob.hn/wp-content/uploads/2014/03/Nota-Tecnica-Bonos-Indexados-al-IPCE.pdf,,https://creativecommons.org/licenses/by-sa/4.0/deed.es_ES,Dirección de Transparencia - SEFIN,transparencia@sefin.gob.hn,"@type: ""dcat:Distribution""",ipce2017-csv,Tabla de Bonos Indexados al IPC 2017,Tabla de Bonos Indexados al IPC año completo 2017 en formato CSV ,CSV,18874368,http://www.sefin.gob.hn/odata/bono/jsonschema.txt,,http://www.sefin.gob.hn/odata/bono/ipce2017.csv
,,,"Bonos del Gobierno Indexados al IPCE para el año 2018, Son valores gubernamentales emitidos por el Gobierno de Honduras, a largo plazo (7, 10 y 15 años), bajo estándares internacionales para este tipo de instrumentos; generan cupones con pagos periódicos (semestrales) y el pago del capital al vencimiento, el cual (capital) es ajustado diariamente utilizando el Coeficiente de Indexación tomando como referencia el Índice de Precios al Consumidor Extrapolado (IPCE). Al devengar cupones sobre un capital que se ajusta de acuerdo al Coeficiente de Indexación, se reduce el riesgo de pérdida de valor por el concepto de la inflación",ipce2018,Economía,Bonos Indexados IPCE Subasta,6/12/2019,6/12/2019,Mensual,Enero 2018 - Diciembre 2018,Nacional,http://www.sefin.gob.hn/wp-content/uploads/2014/03/Nota-Tecnica-Bonos-Indexados-al-IPCE.pdf,,https://creativecommons.org/licenses/by-sa/4.0/deed.es_ES,Dirección de Transparencia - SEFIN,transparencia@sefin.gob.hn,"@type: ""dcat:Distribution""",ipce2018-csv,Tabla de Bonos Indexados al IPC 2018,Tabla de Bonos Indexados al IPC año completo 2018 en formato CSV ,CSV,18874368,http://www.sefin.gob.hn/odata/bono/jsonschema.txt,,http://www.sefin.gob.hn/odata/bono/ipce2018.csv
